header_id,line_item_id,line_item_index,record_type,created_at,customer_created_at,currency,header_status,product_id,product_name,product_type,transaction_type,billing_type,quantity,unit_amount,discount_amount,tax_amount,total_amount,payment_id,payment_method_id,payment_method,payment_at,refund_amount,subscription_id,subscription_period_started_at,subscription_period_ended_at,subscription_status,subscription_plan,customer_id,customer_level,customer_name,customer_email,customer_city,customer_country,customer_company,fee_amount
d011d4cb-2eff-4201-8eb2-695c1fea48af,c90428e5-0279-4a4a-867d-9d57a61e509a,1,header,2024-05-06 08:45:32,2023-01-04 02:29:50,USD,completed,10,stationery,office supplies,sale,one-time,6,834.19,30.42,5.76,4980.48,5d6ae7a9-50ef-4c2a-bbb2-121b22cc4bb6,d2254ba2-ce6d-4a8a-a50f-dfc93ceb70ee,credit_card,2024-05-16 00:17:23,,,,,,,797067e9-3367-4b7e-a3dd-78c4bc51a944,account,Rebecca Graves,fake.name@example.com,Mesa,USA,"York, Owens and Brown",2.41
d011d4cb-2eff-4201-8eb2-695c1fea48af,22e6dda5-56e5-4abe-a469-d16f895acb38,1,line_item,2022-10-06 04:54:39,2021-11-29 18:37:41,USD,pending,3,paper,office supplies,sale,subscription,10,760.31,40.35,19.84,7582.59,,,,,,690ca45a-020d-42d2-b6f6-a2a2ba8718eb,2021-12-15 04:27:49,2023-03-22 16:38:51,inactive,Standard,b29610fd-ebd6-4a1a-8f3b-808a922889a7,account,Victoria Anderson,fake.name@example.com,Seattle,USA,Perez PLC,3.72
d011d4cb-2eff-4201-8eb2-695c1fea48af,577c0526-928a-40da-b4bf-8310755fbfe0,2,line_item,2022-09-09 01:32:54,2020-07-05 07:32:15,USD,cancelled,80,stationery,office supplies,sale,subscription,5,236.87,85.97,12.49,1110.87,,,,,,b824b2b0-c0f9-43ef-a880-058f861563c3,2022-09-01 19:37:54,2023-08-26 20:11:55,inactive,Basic,65b359e1-a677-4dd7-b1b4-06030d7b5ddf,account,Jason Best,fake.name@example.com,Miami,USA,Cohen-Stephenson,10.15
d011d4cb-2eff-4201-8eb2-695c1fea48af,e9df961e-a1bd-4814-abcf-3f7254f080c0,3,line_item,2022-10-13 12:32:32,2022-09-14 06:31:22,USD,completed,27,paper,office supplies,sale,recurring,2,775.77,4.15,20.21,1567.6,d1dd928d-723a-4707-8088-da88731dfe55,94ecf8a3-3bfe-4ab4-b4bf-917d4f6314b5,credit_card,2023-12-30 13:13:59,,846bcf17-2a3b-418b-9003-1a5baf39b044,2022-03-31 09:50:55,2022-10-24 04:36:53,active,Standard,1fa1aa91-5dfd-47aa-bae0-4cc63994026e,account,Mark Harris,fake.name@example.com,Austin,USA,"Moore, Clark and Wood",4.35
60ee84ef-de94-404b-b629-ae72417ff6ca,8f632855-0e72-4dbc-952e-a0bc53a74453,2,header,2023-05-23 17:05:44,2019-08-14 15:23:17,EUR,completed,96,chair,furniture,sale,recurring,9,528.47,6.83,23.77,4773.17,23567198-4c74-42b6-b270-0dafb1df2c9f,6811f16e-4e86-4f9c-af58-a491ec6626ed,credit_card,2024-01-01 20:55:54,,404c32d8-4bfb-4cb9-bafa-cbd268d1a585,2022-05-26 09:40:31,2023-11-20 11:37:39,active,Standard,11274147-3e2f-4f47-96fd-cf3503aa64a8,account,Mr. Kenneth Bates MD,fake.name@example.com,Berlin,Germany,Bell PLC,19.54
60ee84ef-de94-404b-b629-ae72417ff6ca,2887bbd2-5623-4358-bcc1-57d1a30097c2,1,line_item,2023-03-14 06:18:28,2021-01-23 11:17:22,USD,cancelled,43,copier,office equipment,refund,one-time,1,975.04,29.99,6.3,951.35,,,,,179.26,,,,,,88171845-f7a2-4ddc-b3bb-644571b963fe,customer,Anthony Johnson,fake.name@example.com,Fresno,USA,King LLC,4.98
60ee84ef-de94-404b-b629-ae72417ff6ca,9c0b7ae3-5672-48b7-a1d3-99c3d8450d5d,2,line_item,2023-04-25 07:34:43,2020-03-11 12:59:27,USD,completed,56,desk,furniture,refund,recurring,10,302.68,15.46,7.91,3019.25,fe8c5866-a77b-42c5-a367-22e3b52f3679,ec67c522-febd-4504-9b72-c5bd7b784e73,bank_transfer,2024-06-10 18:18:56,2763.57,3d2fc8ac-525d-41fa-a988-b82e8eddc5f2,2022-06-15 09:56:03,2023-08-15 03:48:11,inactive,Basic,3cfadff8-9195-4085-8343-925bd010aa40,customer,Henry Wright,fake.name@example.com,Los Angeles,USA,"Powell, Mcdaniel and Khan",18.18
60ee84ef-de94-404b-b629-ae72417ff6ca,46668977-e315-4dc0-963f-99b6fdc0cc45,3,line_item,2023-10-23 16:29:01,2022-08-06 19:33:51,USD,cancelled,17,paper,office supplies,refund,recurring,7,110.42,91.37,23.48,705.05,,,,,375.09,658072f7-cd44-417c-b4bf-0ab7a91f6282,2023-10-10 21:49:52,2024-02-25 14:26:02,inactive,Basic,f09d8fbb-3b00-4120-9c34-d633cdeb3af8,customer,Tanner Owen,fake.name@example.com,Chicago,USA,Newton-Morris,11.14
60ee84ef-de94-404b-b629-ae72417ff6ca,3199ee7f-0a75-4e69-b591-e69cad85a36d,4,line_item,2024-07-18 10:27:03,2019-12-16 18:33:50,GBP,pending,13,stationery,office supplies,sale,invoiceitem,5,799.89,78.52,16.33,3937.26,,,,,,,,,,,7ac109b9-d719-458b-a98d-4fde3462677e,account,Stephen Butler,fake.name@example.com,London,UK,Martinez Inc,19.91
60ee84ef-de94-404b-b629-ae72417ff6ca,6fe60414-3b21-4a23-bff6-9afd7c065ed4,5,line_item,2024-02-22 11:55:06,2021-02-19 12:06:08,USD,completed,9,ink,office supplies,sale,recurring,5,12.52,59.01,18.22,21.81,c5a7214b-d20a-4c82-ac31-9f2be1c7fbc0,d090732b-25d5-4323-9b6d-78f8c8fb0c90,credit_card,2024-07-08 14:43:30,,c83e80ca-1094-4fa4-8f34-f7d65b590cd5,2023-10-24 06:08:08,2024-05-23 20:23:39,active,Premium,916023da-7492-4c68-8da7-bb4cc985b12e,customer,Rebecca Smith,fake.name@example.com,San Francisco,USA,"Wright, Snyder and Nguyen",3.38
